name
Adamjee Cantonment College
Ahsanullah University of Science and Technology (AUST)
ASA University Bangladesh
Asian University of Bangladesh
Atish Dipankar University of Science and Technology
BANBEIS
Bangabandhu Digital University
Bangabandhu Sheikh Mujib Medical University (BSMMU)
Bangabandhu Sheikh Mujibur Rahman Agricultural University (BSMRAU)
Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University (BSMRAAU)
Bangabandhu Sheikh Mujibur Rahman Maritime University
Bangabandhu Sheikh Mujibur Rahman Science and Technology University (BSMRSTU)
Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University (BSFMSTU)
Bangladesh Academy for Securities Markets - BASM
Bangladesh Agricultural University (BAU)
Bangladesh Army International University of Science and Technology
Bangladesh Army University of Engineering and Technology
Bangladesh Army University of Science and Technology (BAUST)
Bangladesh Association of Women Scientist (BAWS)
Bangladesh Institute of Capital Market (BICM)
Bangladesh Institute of Management (BIM)
Bangladesh Institute of Nuclear Agriculture (BINA)
Bangladesh International School & College (BISC)
Bangladesh Islami University
Bangladesh Livestock Research Institute-BLRI
Bangladesh Open University (BOU)
Bangladesh Research and Education Network (BdREN)
Bangladesh University
Bangladesh University of Engineering & Technology (BUET)
Bangladesh University of Health Sciences
Bangladesh University of Professionals (BUP)
Bangladesh University of Textiles (BUTEX)
BdREN 3
Begum Rokeya University (BRU)
BGC Trust University Bangladesh
BGMEA University of Fashion & Technology
BRAC University
Canadian University of Bangladesh
"CCN University of Science & Technology, Cumilla"
"Chandpur Government College, Chandpur"
"Chittagong Independent University, Chattogram - 4000"
Chittagong University of Engineering & Technology (CUET)
Chittagong Veterinary and Animal Sciences University (CVASU)
City University
Comilla University (CoU)
Cumilla Shikkha Board Govt. Model College
Cumilla Victoria Government College
Daffodil International University
Dhaka International University (DIU)
Dhaka Medical College
Dhaka University of Engineering & Technology (DUET)
East Delta University
East West University (EWU)
Eastern University
Eden Mohila College
European University of Bangladesh
Faith Bangladesh
Fareast International University (FIU)
Faridpur Engineering College
Faridpur Medical College
Feni University
Gono Bishwabidyalay
Government Organization
Green University of Bangladesh
Hajee Mohammad Danesh Science & Technology University (HSTU)
Holy Family Red Crescent Medical College
"Ibrahim Medical College, Dhaka"
Institute of Chartered Secretaries of Bangladesh (ICSB)
International Islamic University Chittagong (IIUC)
International Standard University
International University of Business Agriculture and Technology (IUBAT)
Islamic University of Technology (IUT)
"Islamic University, Bangladesh (IU)"
Jagannath University (JnU)
Jahangirnagar University (JU)
Jashore University of Science and Technology (JUST)
Jatiya Kabi Kazi Nazrul Islam University (JKKNIU)
Khulna Agricultural University (KAU)
Khulna University (KU)
Khulna University of Engineering & Technology (KUET)
Kumudini Women's Medical College
Lalmatia Mohila College
"Leading University, Sylhet"
"MAG Osmani Medical College, Sylhet"
Manarat International University
Mawlana Bhashani Science and Technology University (MBSTU)
Military Institute of Science and Technology (MIST)
Ministry of Education
"Mohammadpur Govt college, Dhaka"
Mymensingh Engineering College
National Institute of Population Research & Training
National Institute of Textile Engineering and Research (NITER)
"National University, Bangladesh"
Noakhali Science and Technology University (NSTU)
North East Medical College
North East University Bangladesh
North South University
North Western University (Khulna)
Northern University of Business & Technology Khulna
"Notre Dame College, Dhaka"
Notre Dame University Bangladesh
Pabna University of Science and Technology (PUST)
Patuakhali Science and Technology University (PSTU)
Port City International University
"Premier University, Chittagong"
Presidency University
Prime University
Primeasia University
Pundra University of Science & Technology
Rabindra Maitree University
"Rabindra University, Bangladesh (RUB)"
Rajshahi Cantonment Public School and College (RCPSC)
Rajshahi Medical University
Rajshahi University of Engineering & Technology (RUET)
Ranada Prasad Shaha University (RPSU)
Rangamati Science and Technology University (RMSTU)
Savar Cantonment Public School & College (SCPSC)
Shahjalal University of Science and Technology (SUST)
Shaikh Burhanuddin Post Graduate College
Shanto-Mariam University of Creative Technology
Sheikh Hasina University (SHU)
Sher-e-Bangla Agricultural University (SBAU)
"Sher-e-Bangla Medical College, Barisal"
Sonargaon University (SU)
Southeast University
Stamford University Bangladesh
State University of Bangladesh
Sylhet Agricultural University (SAU)
The International University of Scholars
TMSS Medical College
United International University
University of Asia Pacific
University of Barisal (BU)
University of Chittagong (CU)
University of Creative Technology Chittagong
University of Dhaka (DU)
University of Information Technology and Sciences
University of Liberal Arts Bangladesh
University of Liberal Arts Bangladesh (ULAB)
University of Rajshahi (RU)
University of Science and Technology Chittagong (USTC)
University of South Asia
Varendra University
Znrf University of Management science
Other
